Unnamed: 0,Split Ratio,Randomization Ratio,Equivalence Margin,Cost,Power,TypeIerror
minimize,0.1381315020530772,0.2292622264134018,0.3889067934687055,-30.000000805855187,"[0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001]","[0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05
 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05]"
shgo,0.1,0.9,0.5,-30.42048081868388,"[0.80121299 0.80128704 0.80137264 0.80146928 0.8015757  0.80168984
 0.80180857 0.801927   0.80203549 0.8021119  0.80210763 0.80193671
 0.80149249 0.80071229 0.79966162 0.79855539 0.79766409 0.79716751
 0.79707995 0.79729312 0.79767084 0.79811391 0.79857349 0.79903569
 0.79949832]","[0.05251915 0.05293885 0.05333015 0.05359873 0.05362364 0.05331647
 0.0526968  0.05191331 0.05117067 0.05061682 0.05028621 0.05013058
 0.05008745 0.05013058 0.05028621 0.05061682 0.05117067 0.05191331
 0.0526968  0.05331647 0.05362364 0.05359873 0.05333015 0.05293885
 0.05251915]"
dual_annealing,0.6982749844767987,0.8986228848563417,0.2557928372450492,-37.09541038331473,"[0.81701691 0.81701754 0.81702092 0.81703678 0.81710048 0.81731943
 0.81795795 0.8195149  0.82260629 0.82735133 0.83227856 0.83378876
 0.82788188 0.8140426  0.79755243 0.78645189 0.78528194 0.792134
 0.80155655 0.80920953 0.81375893 0.81588091 0.81668468 0.81693647
 0.81700175]","[0.05782207 0.05799792 0.05851394 0.05974576 0.06207599 0.06541627
 0.06868117 0.06998778 0.0679522  0.06303069 0.05734823 0.05314959
 0.05165099 0.05314959 0.05734823 0.06303069 0.0679522  0.06998778
 0.06868117 0.06541627 0.06207599 0.05974576 0.05851394 0.05799792
 0.05782207]"
minimize,0.1381469807270767,0.2292707390843456,0.3889020510908421,-30.000000805855187,"[0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001]","[0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05
 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05]"
shgo,0.1,0.9,0.5,-30.39210046779024,"[0.80021853 0.80029301 0.80037908 0.80047624 0.80058324 0.80069802
 0.8008177  0.80093858 0.80105601 0.80116325 0.80124762 0.80128132
 0.80120869 0.80094395 0.80040364 0.7995779  0.79859067 0.79767379
 0.79704943 0.79681579 0.79693172 0.79728953 0.79778944 0.79835838
 0.79892918]","[0.05211425 0.05256636 0.05304829 0.05351885 0.05389638 0.05405626
 0.05387    0.0532881  0.052409   0.05145592 0.05066208 0.05016512
 0.05       0.05016512 0.05066208 0.05145592 0.052409   0.0532881
 0.05387    0.05405626 0.05389638 0.05351885 0.05304829 0.05256636
 0.05211425]"
dual_annealing,0.7587161319486452,0.8874163212077176,0.2539279998241097,-36.66035645466249,"[0.77707479 0.77707522 0.77707794 0.77709239 0.77715728 0.77740405
 0.778196   0.78032961 0.7851092  0.79386013 0.80653898 0.82007979
 0.82850315 0.82635991 0.81347436 0.79597363 0.78168491 0.77449314
 0.77316847 0.7743991  0.77580428 0.77661999 0.77695088 0.77705102
 0.77707303]","[0.04147073 0.0416141  0.0421007  0.04346051 0.04653988 0.05206202
 0.05960046 0.06675785 0.07       0.0672841  0.06015243 0.05296477
 0.05       0.05296477 0.06015243 0.0672841  0.07       0.06675785
 0.05960046 0.05206202 0.04653988 0.04346051 0.0421007  0.0416141
 0.04147073]"
minimize,0.1561555800070901,0.2418627648153735,0.3878364349991921,-30.000000805855187,"[0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001]","[0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05
 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05]"
shgo,0.1,0.1,0.1,[[-30.00000081]],"[0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001]","[0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05
 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05]"
dual_annealing,0.2439418870294249,0.4771904861905687,0.1981633917772544,[[-30.00000081]],"[0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001]","[0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05
 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05]"
minimize,0.1381741677152124,0.2292856932746642,0.3888937202762547,-30.0000008058552,"[0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001 0.80000001
 0.80000001]","[0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05
 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05]"
shgo,0.1,0.9,0.5,-30.3972963831042,"[0.80028681 0.80036125 0.80044729 0.80054442 0.80065138 0.80076611
 0.80088575 0.80100657 0.80112388 0.80123069 0.80131357 0.80134301
 0.80126065 0.80097864 0.80041533 0.79956853 0.79857227 0.79766337
 0.79705935 0.796848   0.79697947 0.79734314 0.79784125 0.79840516
 0.79897243]","[0.05214259 0.05259417 0.05307429 0.05353983 0.05390641 0.0540478
 0.05383836 0.05323708 0.05235201 0.05140947 0.05063607 0.05015776
 0.05       0.05015776 0.05063607 0.05140947 0.05235201 0.05323708
 0.05383836 0.0540478  0.05390641 0.05353983 0.05307429 0.05259417
 0.05214259]"
dual_annealing,0.7937779198493636,0.8950867403088004,0.2636524146703103,-37.408716160642896,"[0.80000005 0.80000034 0.80000232 0.80001358 0.8000673  0.80028144
 0.80099153 0.80293404 0.80725515 0.81486965 0.82494124 0.83353623
 0.83478075 0.82532902 0.80846003 0.79256207 0.78454211 0.78504115
 0.78990269 0.79480631 0.797893   0.7993157  0.79982232 0.79996445
 0.79999544]","[0.05003964 0.05017291 0.05062633 0.05187372 0.05460178 0.05921957
 0.06495913 0.06946781 0.06999994 0.06569163 0.05861989 0.05241455
 0.05       0.05241455 0.05861989 0.06569163 0.06999994 0.06946781
 0.06495913 0.05921957 0.05460178 0.05187372 0.05062633 0.05017291
 0.05003964]"
