Weight,Calibration,Randomization Ratio,Equivalence Margin,Split Ratio,Cost,N,N_t,Power_Reference,Cost,,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6,Beta_-0.6,Beta_-0.55,Beta_-0.5,Beta_-0.45,Beta_-0.4,Beta_-0.35,Beta_-0.3,Beta_-0.25,Beta_-0.2,Beta_-0.15,Beta_-0.1,Beta_-0.05,Beta_0.0,Beta_0.05,Beta_0.1,Beta_0.15,Beta_0.2,Beta_0.25,Beta_0.3,Beta_0.35,Beta_0.4,Beta_0.45,Beta_0.5,Beta_0.55,Beta_0.6
,,,,,,,,,,,-0.6,-0.55,-0.5,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,,-0.6,-0.55,-0.5,-0.45,-0.4,-0.35,-0.3,-0.25,-0.2,-0.15,-0.1,-0.05,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Pre-specified lower bound,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,Pre-specified lpper bound,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Power of conventional design,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,Type I error of conventional design,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0.7883,0.283,0,-83.7794,300,236,0.8027,-83.7794,Power of hybrid design (Calibration method 1),0.8207,0.8207,0.8207,0.8207,0.8207,0.8207,0.8207,0.8208,0.8211,0.8225,0.8266,0.8335,0.8378,0.8296,0.8084,0.7897,0.7878,0.7992,0.8113,0.8179,0.8201,0.8206,0.8207,0.8207,0.8207,Type I error of hybrid design (Calibration method 1),0.0583,0.0584,0.0586,0.0594,0.0618,0.0661,0.07,0.0696,0.0643,0.0582,0.0555,0.0557,0.0562,0.0557,0.0555,0.0582,0.0643,0.0696,0.07,0.0661,0.0618,0.0594,0.0586,0.0584,0.0583,0.0002,0.0006,0.0021,0.0063,0.0164,0.038,0.0784,0.1439,0.2356,0.3448,0.4521,0.5314,0.5608,0.5314,0.4521,0.3448,0.2356,0.1439,0.0784,0.038,0.0164,0.0063,0.0021,0.0006,0.0002
0,1,0.8125,0.2807,0,-83.6342,328,266,0.8022,-83.6342,,0.8194,0.8194,0.8194,0.8194,0.8194,0.8194,0.8194,0.8194,0.8196,0.8206,0.824,0.8308,0.8363,0.8298,0.8085,0.7887,0.787,0.7992,0.8112,0.8172,0.819,0.8193,0.8194,0.8194,0.8194,,0.0579,0.0579,0.0581,0.0589,0.0612,0.0656,0.0695,0.0687,0.0628,0.057,0.0551,0.0558,0.0565,0.0558,0.0551,0.057,0.0628,0.0687,0.0695,0.0656,0.0612,0.0589,0.0581,0.0579,0.0579,0.0002,0.0006,0.0021,0.0061,0.0159,0.0368,0.0759,0.1392,0.228,0.334,0.4381,0.5153,0.5439,0.5153,0.4381,0.334,0.228,0.1392,0.0759,0.0368,0.0159,0.0061,0.0021,0.0006,0.0002
0,1,0.7526,0.2846,0,-83.7396,269,202,0.8024,-83.7396,,0.8208,0.8208,0.8208,0.8208,0.8208,0.8209,0.8209,0.821,0.8216,0.8236,0.8285,0.8351,0.8374,0.8274,0.807,0.7901,0.7884,0.7988,0.8104,0.8173,0.82,0.8207,0.8208,0.8209,0.8209,,0.0585,0.0586,0.0588,0.0597,0.0621,0.066,0.0698,0.07,0.0655,0.0595,0.056,0.0554,0.0556,0.0554,0.056,0.0595,0.0655,0.07,0.0698,0.066,0.0621,0.0597,0.0588,0.0586,0.0585,0.0002,0.0006,0.0021,0.0063,0.0166,0.0388,0.0803,0.1477,0.2423,0.3551,0.4657,0.5476,0.5779,0.5476,0.4657,0.3551,0.2423,0.1477,0.0803,0.0388,0.0166,0.0063,0.0021,0.0006,0.0002
0,1,0.7196,0.2854,0,-83.6272,248,178,0.8019,-83.6272,,0.8204,0.8204,0.8204,0.8204,0.8204,0.8204,0.8205,0.8207,0.8216,0.8242,0.8295,0.8356,0.8363,0.8251,0.8054,0.79,0.7886,0.7983,0.8094,0.8165,0.8194,0.8202,0.8204,0.8204,0.8204,,0.0586,0.0586,0.0589,0.0598,0.062,0.0658,0.0694,0.07,0.0662,0.0605,0.0564,0.055,0.0549,0.055,0.0564,0.0605,0.0662,0.07,0.0694,0.0658,0.062,0.0598,0.0589,0.0586,0.0586,0.0002,0.0006,0.0021,0.0062,0.0166,0.039,0.0811,0.1501,0.247,0.3627,0.4764,0.5605,0.5917,0.5605,0.4764,0.3627,0.247,0.1501,0.0811,0.039,0.0166,0.0062,0.0021,0.0006,0.0002
0,2,0.3372,0.2608,0,-83.1978,224,76,0.8017,-83.1978,Power of hybrid design (Calibration method 2),0.7767,0.7767,0.7767,0.7767,0.7767,0.7769,0.7779,0.7811,0.7889,0.803,0.8204,0.833,0.832,0.8164,0.795,0.7786,0.7717,0.7717,0.7739,0.7756,0.7764,0.7766,0.7767,0.7767,0.7767,Type I error of hybrid design (Calibration method 2),0.0407,0.0407,0.0408,0.041,0.0418,0.0441,0.0486,0.0548,0.0602,0.0615,0.0579,0.0525,0.05,0.0525,0.0579,0.0615,0.0602,0.0548,0.0486,0.0441,0.0418,0.041,0.0408,0.0407,0.0407,0,0,0.0002,0.0011,0.0047,0.0168,0.0493,0.1188,0.2384,0.4021,0.5765,0.7113,0.7621,0.7113,0.5765,0.4021,0.2384,0.1188,0.0493,0.0168,0.0047,0.0011,0.0002,0,0
0,2,0.3374,0.2592,0,-83.1323,224,76,0.8017,-83.1323,,0.7766,0.7766,0.7766,0.7766,0.7766,0.7768,0.7778,0.7808,0.7884,0.8022,0.8194,0.832,0.8313,0.8163,0.7953,0.7791,0.7722,0.772,0.7741,0.7756,0.7763,0.7765,0.7766,0.7766,0.7766,,0.0407,0.0407,0.0407,0.0409,0.0417,0.0439,0.0483,0.0544,0.0597,0.0611,0.0576,0.0524,0.05,0.0524,0.0576,0.0611,0.0597,0.0544,0.0483,0.0439,0.0417,0.0409,0.0407,0.0407,0.0407,0,0,0.0002,0.001,0.0045,0.0162,0.0478,0.116,0.2339,0.3962,0.5703,0.7053,0.7562,0.7053,0.5703,0.3962,0.2339,0.116,0.0478,0.0162,0.0045,0.001,0.0002,0,0
0,2,0.3376,0.2608,0,-83.1974,224,76,0.8017,-83.1974,,0.7767,0.7767,0.7767,0.7767,0.7767,0.7769,0.7779,0.7811,0.7889,0.803,0.8204,0.833,0.832,0.8164,0.795,0.7786,0.7717,0.7717,0.7739,0.7756,0.7764,0.7766,0.7767,0.7767,0.7767,,0.0407,0.0407,0.0408,0.041,0.0418,0.0441,0.0486,0.0548,0.0602,0.0615,0.0579,0.0525,0.05,0.0525,0.0579,0.0615,0.0602,0.0548,0.0486,0.0441,0.0418,0.041,0.0408,0.0407,0.0407,0,0,0.0002,0.0011,0.0047,0.0168,0.0492,0.1188,0.2384,0.402,0.5765,0.7113,0.762,0.7113,0.5765,0.402,0.2384,0.1188,0.0492,0.0168,0.0047,0.0011,0.0002,0,0
0,2,0.3376,0.2608,0,-83.1971,224,76,0.8017,-83.1971,,0.7767,0.7767,0.7767,0.7767,0.7767,0.7769,0.7779,0.7811,0.7889,0.8029,0.8204,0.833,0.832,0.8164,0.795,0.7786,0.7717,0.7717,0.7739,0.7756,0.7764,0.7766,0.7767,0.7767,0.7767,,0.0407,0.0407,0.0408,0.041,0.0418,0.0441,0.0486,0.0548,0.0602,0.0615,0.0579,0.0525,0.05,0.0525,0.0579,0.0615,0.0602,0.0548,0.0486,0.0441,0.0418,0.041,0.0408,0.0407,0.0407,0,0,0.0002,0.0011,0.0047,0.0168,0.0492,0.1188,0.2384,0.402,0.5765,0.7113,0.762,0.7113,0.5765,0.402,0.2384,0.1188,0.0492,0.0168,0.0047,0.0011,0.0002,0,0
0,3,0.5283,0.2822,0.5612,-84.4372,201,106,0.8008,-84.4372,Power of hybrid design (Calibration method 3),0.7711,0.7711,0.7711,0.7711,0.7712,0.7713,0.772,0.7743,0.7805,0.793,0.812,0.8322,0.8444,0.8412,0.8241,0.8021,0.7845,0.7749,0.7714,0.7708,0.7709,0.7711,0.7711,0.7711,0.7711,Type I error of hybrid design (Calibration method 3),0.0392,0.0393,0.0396,0.0408,0.0436,0.0493,0.0576,0.0659,0.07,0.0676,0.0604,0.053,0.05,0.053,0.0604,0.0676,0.07,0.0659,0.0576,0.0493,0.0436,0.0408,0.0396,0.0393,0.0392,0.0001,0.0003,0.0012,0.0043,0.0129,0.0339,0.0768,0.1519,0.2625,0.3989,0.5354,0.6375,0.6755,0.6375,0.5354,0.3989,0.2625,0.1519,0.0768,0.0339,0.0129,0.0043,0.0012,0.0003,0.0001
0,3,0.5504,0.2788,0.6066,-84.1982,202,111,0.8,-84.1982,,0.7731,0.7731,0.7731,0.7731,0.7732,0.7733,0.7738,0.7756,0.7807,0.7916,0.809,0.8287,0.842,0.8412,0.8263,0.8056,0.7881,0.778,0.774,0.773,0.773,0.7731,0.7731,0.7731,0.7731,,0.0401,0.0402,0.0405,0.0416,0.0443,0.0498,0.0577,0.0656,0.0694,0.0669,0.0599,0.0529,0.05,0.0529,0.0599,0.0669,0.0694,0.0656,0.0577,0.0498,0.0443,0.0416,0.0405,0.0402,0.0401,0.0001,0.0003,0.0012,0.0042,0.0125,0.0324,0.0732,0.1443,0.2496,0.3798,0.5109,0.6094,0.6461,0.6094,0.5109,0.3798,0.2496,0.1443,0.0732,0.0324,0.0125,0.0042,0.0012,0.0003,0.0001
0,3,0.566,0.2796,0.6454,-84.3381,204,115,0.8013,-84.3381,,0.7804,0.7804,0.7804,0.7804,0.7805,0.7806,0.781,0.7826,0.7871,0.7969,0.8128,0.8311,0.8434,0.8422,0.8277,0.8078,0.7917,0.7831,0.7802,0.78,0.7802,0.7804,0.7804,0.7804,0.7804,,0.0421,0.0422,0.0425,0.0436,0.0463,0.0517,0.0594,0.0668,0.07,0.067,0.0597,0.0528,0.05,0.0528,0.0597,0.067,0.07,0.0668,0.0594,0.0517,0.0463,0.0436,0.0425,0.0422,0.0421,0.0001,0.0003,0.0013,0.0044,0.0129,0.0331,0.0741,0.1452,0.2499,0.379,0.5086,0.6059,0.6421,0.6059,0.5086,0.379,0.2499,0.1452,0.0741,0.0331,0.0129,0.0044,0.0013,0.0003,0.0001
0,3,0.4533,0.2849,0.474,-84.3648,202,92,0.8008,-84.3648,,0.7743,0.7743,0.7743,0.7743,0.7743,0.7746,0.7757,0.7792,0.7874,0.8022,0.8218,0.8388,0.8436,0.8324,0.8105,0.7889,0.7754,0.7708,0.7711,0.7727,0.7737,0.7741,0.7742,0.7743,0.7743,,0.0402,0.0403,0.0406,0.0415,0.0439,0.049,0.0566,0.0646,0.069,0.0672,0.0604,0.0531,0.05,0.0531,0.0604,0.0672,0.069,0.0646,0.0566,0.049,0.0439,0.0415,0.0406,0.0403,0.0402,0,0.0002,0.001,0.0037,0.0121,0.0335,0.0793,0.1612,0.2836,0.4347,0.5853,0.6972,0.7385,0.6972,0.5853,0.4347,0.2836,0.1612,0.0793,0.0335,0.0121,0.0037,0.001,0.0002,0
0,4,0.6071,0.2864,0,-84.1576,210,127,0.8015,-84.1576,Power of hybrid design (Calibration method 4),0.8015,0.8015,0.8015,0.8015,0.8015,0.8016,0.8019,0.8029,0.806,0.8129,0.8242,0.8362,0.8416,0.8345,0.8175,0.8002,0.7912,0.791,0.7949,0.7986,0.8005,0.8013,0.8015,0.8015,0.8015,Type I error of hybrid design (Calibration method 4),0.05,0.0501,0.0504,0.0515,0.0543,0.0592,0.0654,0.07,0.07,0.0649,0.0577,0.0521,0.05,0.0521,0.0577,0.0649,0.07,0.07,0.0654,0.0592,0.0543,0.0515,0.0504,0.0501,0.05,0.0001,0.0005,0.0017,0.0055,0.0154,0.038,0.0822,0.1563,0.2624,0.3906,0.5173,0.6114,0.6462,0.6114,0.5173,0.3906,0.2624,0.1563,0.0822,0.038,0.0154,0.0055,0.0017,0.0005,0.0001
0,4,0.5838,0.2868,0,-84.0577,206,120,0.8008,-84.0577,,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8012,0.8024,0.8059,0.8134,0.825,0.8365,0.8406,0.8321,0.8144,0.7974,0.7891,0.7895,0.7938,0.7976,0.7997,0.8005,0.8007,0.8008,0.8008,,0.05,0.0501,0.0504,0.0515,0.0541,0.0588,0.0649,0.0696,0.0699,0.0651,0.058,0.0522,0.05,0.0522,0.058,0.0651,0.0699,0.0696,0.0649,0.0588,0.0541,0.0515,0.0504,0.0501,0.05,0.0001,0.0004,0.0016,0.0053,0.0152,0.0379,0.0826,0.158,0.2664,0.3975,0.5271,0.6234,0.659,0.6234,0.5271,0.3975,0.2664,0.158,0.0826,0.0379,0.0152,0.0053,0.0016,0.0004,0.0001
0,4,0.6067,0.2861,0,-84.1347,210,127,0.8015,-84.1347,,0.8015,0.8015,0.8015,0.8015,0.8015,0.8016,0.8019,0.8029,0.806,0.8128,0.824,0.836,0.8413,0.8343,0.8174,0.8003,0.7913,0.7911,0.795,0.7986,0.8006,0.8013,0.8015,0.8015,0.8015,,0.05,0.0501,0.0504,0.0515,0.0542,0.0591,0.0652,0.0698,0.0698,0.0648,0.0577,0.052,0.05,0.052,0.0577,0.0648,0.0698,0.0698,0.0652,0.0591,0.0542,0.0515,0.0504,0.0501,0.05,0.0001,0.0005,0.0017,0.0054,0.0153,0.0378,0.0818,0.1557,0.2616,0.3896,0.5161,0.6101,0.645,0.6101,0.5161,0.3896,0.2616,0.1557,0.0818,0.0378,0.0153,0.0054,0.0017,0.0005,0.0001
0,4,0.6302,0.2851,0,-84.1482,215,135,0.8018,-84.1482,,0.8018,0.8018,0.8018,0.8018,0.8018,0.8019,0.8021,0.8029,0.8055,0.8117,0.8225,0.8348,0.8415,0.836,0.8199,0.8027,0.7931,0.7923,0.7958,0.7991,0.8009,0.8016,0.8018,0.8018,0.8018,,0.05,0.0501,0.0504,0.0515,0.0543,0.0593,0.0655,0.07,0.0697,0.0644,0.0573,0.0519,0.05,0.0519,0.0573,0.0644,0.0697,0.07,0.0655,0.0593,0.0543,0.0515,0.0504,0.0501,0.05,0.0001,0.0005,0.0017,0.0055,0.0154,0.0376,0.0807,0.1529,0.2561,0.3807,0.5039,0.5955,0.6294,0.5955,0.5039,0.3807,0.2561,0.1529,0.0807,0.0376,0.0154,0.0055,0.0017,0.0005,0.0001
0.005,1,0.9,0.2135,0,-329.9442,555,499,0.8027,-329.9442,,0.8035,0.8035,0.8035,0.8035,0.8035,0.8035,0.8035,0.8035,0.8035,0.8035,0.8036,0.8038,0.8044,0.8048,0.8031,0.8013,0.8019,0.803,0.8035,0.8035,0.8035,0.8035,0.8035,0.8035,0.8035,,0.0503,0.0503,0.0503,0.0504,0.0504,0.0507,0.051,0.0508,0.0503,0.0502,0.0503,0.0503,0.0503,0.0503,0.0503,0.0502,0.0503,0.0508,0.051,0.0507,0.0504,0.0504,0.0503,0.0503,0.0503,0,0.0001,0.0004,0.0012,0.0035,0.009,0.0202,0.0401,0.0703,0.1088,0.1486,0.1792,0.1907,0.1792,0.1486,0.1088,0.0703,0.0401,0.0202,0.009,0.0035,0.0012,0.0004,0.0001,0
0.005,1,0.9,0.2726,0,-333.2755,556,500,0.8028,-333.2755,,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8185,0.8226,0.8328,0.837,0.8139,0.7832,0.7837,0.8028,0.8144,0.8174,0.8177,0.8178,0.8178,0.8178,0.8178,,0.0568,0.0568,0.0568,0.0572,0.0592,0.0647,0.0699,0.0662,0.0571,0.0535,0.055,0.0564,0.0567,0.0564,0.055,0.0535,0.0571,0.0662,0.0699,0.0647,0.0592,0.0572,0.0568,0.0568,0.0568,0.0001,0.0006,0.0018,0.0054,0.014,0.0326,0.0673,0.1241,0.2042,0.3004,0.3955,0.4663,0.4926,0.4663,0.3955,0.3004,0.2042,0.1241,0.0673,0.0326,0.014,0.0054,0.0018,0.0006,0.0001
0.005,1,0.9,0.2627,0,-332.5101,556,500,0.8028,-332.5101,,0.8138,0.8138,0.8138,0.8138,0.8138,0.8138,0.8138,0.8138,0.8138,0.8138,0.8143,0.8173,0.8251,0.8284,0.8102,0.7873,0.7892,0.8038,0.8118,0.8136,0.8138,0.8138,0.8138,0.8138,0.8138,,0.0549,0.0549,0.0549,0.0551,0.0565,0.0604,0.0642,0.0614,0.0548,0.0525,0.0537,0.0546,0.0548,0.0546,0.0537,0.0525,0.0548,0.0614,0.0642,0.0604,0.0565,0.0551,0.0549,0.0549,0.0549,0.0001,0.0004,0.0015,0.0044,0.0116,0.0274,0.0577,0.108,0.1802,0.2681,0.3558,0.4216,0.4461,0.4216,0.3558,0.2681,0.1802,0.108,0.0577,0.0274,0.0116,0.0044,0.0015,0.0004,0.0001
0.005,1,0.8998,0.2728,0,-332.7822,555,499,0.8027,-332.7822,,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8178,0.8185,0.8226,0.8328,0.8371,0.8139,0.7831,0.7835,0.8027,0.8144,0.8174,0.8177,0.8178,0.8178,0.8178,0.8178,,0.0568,0.0568,0.0569,0.0572,0.0592,0.0648,0.07,0.0663,0.0571,0.0535,0.055,0.0564,0.0567,0.0564,0.055,0.0535,0.0571,0.0663,0.07,0.0648,0.0592,0.0572,0.0569,0.0568,0.0568,0.0001,0.0006,0.0018,0.0054,0.0141,0.0327,0.0675,0.1244,0.2046,0.301,0.3962,0.467,0.4933,0.467,0.3962,0.301,0.2046,0.1244,0.0675,0.0327,0.0141,0.0054,0.0018,0.0006,0.0001
0.005,2,0.8998,0.1123,0,-329.7726,555,499,0.8027,-329.7726,,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,2,0.9,0.1257,0,-330.2804,556,500,0.8028,-330.2804,,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,2,0.9,0.1571,0,-330.2804,556,500,0.8028,-330.2804,,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,2,0.8998,0.1316,0,-329.7726,555,499,0.8027,-329.7726,,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,3,0.8999,0.1211,0.6544,-329.7726,555,499,0.8027,-329.7726,,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,3,0.9,0.1442,0.802,-330.2804,556,500,0.8028,-330.2804,,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,3,0.9,0.1673,0.4067,-330.2804,556,500,0.8028,-330.2804,,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,3,0.9,0.1449,0.4034,-330.2804,556,500,0.8028,-330.2804,,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,4,0.8999,0.1862,0,-329.7747,555,499,0.8027,-329.7747,,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8028,0.8028,0.8028,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.0001,0.0002,0.0006,0.0017,0.0038,0.0076,0.0135,0.021,0.0289,0.035,0.0373,0.035,0.0289,0.021,0.0135,0.0076,0.0038,0.0017,0.0006,0.0002,0.0001,0,0
0.005,4,0.9,0.251,0,-331.7841,556,500,0.8028,-331.7841,Power of hybrid design (Calibration method 4),0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8032,0.8063,0.8178,0.8383,0.8479,0.8322,0.8116,0.8036,0.8027,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,Type I error of hybrid design (Calibration method 4),0.05,0.05,0.05,0.0502,0.0515,0.0565,0.0655,0.0699,0.0636,0.0547,0.0508,0.0501,0.05,0.0501,0.0508,0.0547,0.0636,0.0699,0.0655,0.0565,0.0515,0.0502,0.05,0.05,0.05,0.0001,0.0003,0.0011,0.0034,0.0091,0.0221,0.0474,0.0903,0.153,0.2302,0.3082,0.3672,0.3892,0.3672,0.3082,0.2302,0.153,0.0903,0.0474,0.0221,0.0091,0.0034,0.0011,0.0003,0.0001
0.005,4,0.9,0.2354,0,-331.1179,556,500,0.8028,-331.1179,,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.803,0.8046,0.8112,0.8237,0.8295,0.8196,0.8076,0.8032,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,0.8028,,0.05,0.05,0.05,0.0501,0.0507,0.0533,0.0579,0.06,0.0565,0.0521,0.0503,0.05,0.05,0.05,0.0503,0.0521,0.0565,0.06,0.0579,0.0533,0.0507,0.0501,0.05,0.05,0.05,0.0001,0.0002,0.0007,0.0023,0.0065,0.016,0.0351,0.0683,0.1177,0.1795,0.2428,0.2909,0.309,0.2909,0.2428,0.1795,0.1177,0.0683,0.0351,0.016,0.0065,0.0023,0.0007,0.0002,0.0001
0.005,4,0.9,0.2465,0,-331.2849,555,499,0.8027,-331.0644,,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,0.8031,0.8056,0.8156,0.8337,0.8421,0.8281,0.8102,0.8034,0.8026,0.8027,0.8027,0.8027,0.8027,0.8027,0.8027,,0.05,0.05,0.05,0.0501,0.0512,0.0554,0.0629,0.0666,0.0611,0.0538,0.0506,0.05,0.05,0.05,0.0506,0.0538,0.0611,0.0666,0.0629,0.0554,0.0512,0.0501,0.05,0.05,0.05,0.0001,0.0003,0.001,0.003,0.0083,0.0202,0.0437,0.0838,0.1425,0.2155,0.2894,0.3453,0.3663,0.3453,0.2894,0.2155,0.1425,0.0838,0.0437,0.0202,0.0083,0.003,0.001,0.0003,0.0001
