,Randomization Ratio,Equivalence Margin,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6,Split Proportion
Calibration1_CSO,0.79,0.3473,0.8177,0.8177,0.8177,0.8177,0.8177,0.8177,0.8178,0.818,0.8189,0.8213,0.8259,0.8318,0.8347,0.8293,0.8141,0.7958,0.7848,0.7859,0.7953,0.8056,0.8127,0.8161,0.8173,0.8176,0.8177,0.0585,0.0593,0.0611,0.0643,0.0679,0.07,0.0686,0.0642,0.0591,0.056,0.0553,0.0558,0.0562,0.0558,0.0553,0.056,0.0591,0.0642,0.0686,0.07,0.0679,0.0643,0.0611,0.0593,0.0585,
Calibration1_CSOMA,0.665,0.304,0.8191,0.8191,0.8191,0.8191,0.8191,0.8191,0.8193,0.8199,0.8216,0.8255,0.8312,0.8359,0.834,0.8221,0.804,0.7895,0.7863,0.7933,0.8038,0.8121,0.8166,0.8184,0.8189,0.819,0.8191,0.0588,0.059,0.0595,0.0609,0.0636,0.0671,0.07,0.07,0.0664,0.0611,0.0567,0.0545,0.0539,0.0545,0.0567,0.0611,0.0664,0.07,0.07,0.0671,0.0636,0.0609,0.0595,0.059,0.0588,
Calibration1_PSO,0.675,0.3061,0.8189,0.8189,0.8189,0.8189,0.8189,0.819,0.8191,0.8197,0.8214,0.8251,0.8307,0.8355,0.834,0.8225,0.8046,0.7899,0.7862,0.7929,0.8034,0.8118,0.8164,0.8182,0.8188,0.8189,0.8189,0.0588,0.0589,0.0595,0.061,0.0637,0.0673,0.07,0.0697,0.0659,0.0607,0.0565,0.0545,0.0541,0.0545,0.0565,0.0607,0.0659,0.0697,0.07,0.0673,0.0637,0.061,0.0595,0.0589,0.0588,
Calibration2_CSO,0.235,0.2482,0.7829,0.7829,0.7829,0.7829,0.7829,0.7832,0.784,0.7864,0.7917,0.8004,0.8102,0.8162,0.814,0.8042,0.7921,0.7834,0.78,0.7802,0.7814,0.7823,0.7827,0.7828,0.7829,0.7829,0.7829,0.0434,0.0434,0.0434,0.0435,0.0439,0.0448,0.0466,0.0494,0.0522,0.0536,0.0528,0.051,0.05,0.051,0.0528,0.0536,0.0522,0.0494,0.0466,0.0448,0.0439,0.0435,0.0434,0.0434,0.0434,
Calibration2_CSOMA,0.24,0.2473,0.7825,0.7825,0.7825,0.7825,0.7825,0.7828,0.7836,0.7859,0.7911,0.7998,0.8096,0.8159,0.8141,0.8046,0.7925,0.7837,0.7801,0.78,0.7811,0.7819,0.7823,0.7825,0.7825,0.7825,0.7825,0.0433,0.0433,0.0433,0.0434,0.0437,0.0446,0.0465,0.0492,0.0521,0.0535,0.0528,0.051,0.05,0.051,0.0528,0.0535,0.0521,0.0492,0.0465,0.0446,0.0437,0.0434,0.0433,0.0433,0.0433,
Calibration2_PSO,0.24,0.2473,0.7825,0.7825,0.7825,0.7825,0.7825,0.7828,0.7836,0.7859,0.7911,0.7998,0.8096,0.8159,0.8141,0.8046,0.7925,0.7837,0.78,0.78,0.7811,0.7819,0.7823,0.7825,0.7825,0.7825,0.7825,0.0433,0.0433,0.0433,0.0434,0.0437,0.0446,0.0465,0.0492,0.0521,0.0535,0.0528,0.051,0.05,0.051,0.0528,0.0535,0.0521,0.0492,0.0465,0.0446,0.0437,0.0434,0.0433,0.0433,0.0433,
Calibration3_CSO,0.61,0.2887,0.7933,0.7933,0.7933,0.7933,0.7933,0.7934,0.7937,0.7948,0.7981,0.8055,0.8177,0.8317,0.8407,0.8383,0.8246,0.8074,0.7948,0.7898,0.7899,0.7914,0.7926,0.7931,0.7933,0.7933,0.7933,0.0473,0.0474,0.0479,0.0492,0.0523,0.0577,0.0643,0.0693,0.0696,0.0649,0.0579,0.0521,0.05,0.0521,0.0579,0.0649,0.0696,0.0693,0.0643,0.0577,0.0523,0.0492,0.0479,0.0474,0.0473,0.765
Calibration3_CSOMA,0.33,0.3241,0.6206,0.6206,0.6207,0.621,0.6223,0.6268,0.6392,0.6653,0.7086,0.7637,0.8156,0.8472,0.849,0.8231,0.7794,0.7304,0.6867,0.6547,0.6354,0.626,0.6222,0.621,0.6207,0.6206,0.6206,0.0127,0.0129,0.0137,0.0161,0.022,0.0327,0.0475,0.0618,0.07,0.0691,0.0616,0.0534,0.05,0.0534,0.0616,0.0691,0.07,0.0618,0.0475,0.0327,0.022,0.0161,0.0137,0.0129,0.0127,0.0863
Calibration3_PSO,0.3,0.1413,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7994,0.7994,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.7993,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0498,0.0498,0.0499,0.05,0.05,0.05,0.0499,0.0498,0.0498,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0608
Calibration4_CSO,0.63,0.2949,0.8,0.8,0.8,0.8,0.8,0.8001,0.8003,0.8013,0.8042,0.8107,0.8213,0.833,0.8393,0.8343,0.8193,0.8026,0.7923,0.7905,0.7934,0.7968,0.7988,0.7997,0.7999,0.8,0.8,0.05,0.0502,0.0507,0.0522,0.0554,0.0606,0.0664,0.0699,0.0687,0.0633,0.0566,0.0517,0.05,0.0517,0.0566,0.0633,0.0687,0.0699,0.0664,0.0606,0.0554,0.0522,0.0507,0.0502,0.05,
Calibration4_CSOMA,0.58,0.2913,0.8,0.8,0.8,0.8,0.8,0.8001,0.8005,0.8019,0.8057,0.8135,0.8251,0.8365,0.8402,0.8317,0.814,0.7969,0.7882,0.7883,0.7925,0.7965,0.7988,0.7997,0.7999,0.8,0.8,0.05,0.0501,0.0505,0.0517,0.0546,0.0595,0.0656,0.07,0.07,0.065,0.0579,0.0521,0.05,0.0521,0.0579,0.065,0.07,0.07,0.0656,0.0595,0.0546,0.0517,0.0505,0.0501,0.05,
Calibration4_PSO,0.575,0.291,0.8,0.8,0.8,0.8,0.8,0.8001,0.8005,0.8019,0.8058,0.8137,0.8254,0.8367,0.8402,0.8313,0.8135,0.7964,0.7878,0.7881,0.7924,0.7965,0.7988,0.7997,0.7999,0.8,0.8,0.05,0.0501,0.0505,0.0517,0.0545,0.0594,0.0654,0.0699,0.07,0.0651,0.058,0.0522,0.05,0.0522,0.058,0.0651,0.07,0.0699,0.0654,0.0594,0.0545,0.0517,0.0505,0.0501,0.05,
